task_id,service_id,cpu_load_kcycles,data_size_mbit,num_microservices,release_time,source_node,deadline_ms
0,0,458.52,759.08,13,0,6,222.93
1,0,224.95,450.34,22,0,4,211.25
2,0,730.23,312.21,22,0,4,236.51
3,0,938.71,1115.49,14,0,0,246.94
4,0,42.84,328.78,16,2,2,202.14
5,1,542.74,486.14,4,4,0,227.14
6,1,412.49,259.32,5,2,5,220.62
7,1,142.05,336.38,24,4,1,207.1
8,1,764.53,96.37,11,4,0,238.23
9,1,246.97,294.67,1,1,0,212.35
10,2,766.32,857.73,14,2,6,238.32
11,2,449.54,965.91,16,5,2,222.48
12,2,477.26,889.19,1,5,4,223.86
13,2,545.15,454.63,16,8,2,227.26
14,2,847.46,602.85,14,7,5,242.37
15,3,238.91,297.34,12,6,7,211.95
16,3,921.19,492.58,2,5,4,246.06
17,3,871.1,10.0,1,9,1,243.56
18,3,1157.14,103.79,14,5,7,257.86
19,3,628.4,10.0,5,15,0,231.42
20,4,239.86,747.06,20,5,5,211.99
21,4,756.2,1215.44,19,21,5,237.81
22,4,642.15,23.48,24,13,4,232.11
23,4,361.24,55.0,15,14,7,218.06
24,4,543.76,10.0,3,11,2,227.19
25,5,10.0,161.06,3,14,0,200.5
26,5,242.85,71.64,15,19,0,212.14
27,5,461.72,636.64,13,14,3,223.09
28,5,733.11,918.23,6,12,0,236.66
29,5,828.9,365.84,7,21,1,241.44
30,6,157.11,643.11,10,17,7,207.86
31,6,10.0,687.09,14,14,7,200.5
32,6,761.57,1074.94,10,18,7,238.08
33,6,520.51,336.24,10,16,2,226.03
34,6,10.0,774.5,28,5,5,200.5
35,7,606.33,10.0,1,15,3,230.32
36,7,118.74,1455.61,14,20,4,205.94
37,7,467.84,305.51,24,18,1,223.39
38,7,759.73,19.88,14,14,5,237.99
39,7,555.16,731.16,7,20,4,227.76
40,8,1053.11,207.7,1,24,5,252.66
41,8,709.73,739.96,1,18,4,235.49
42,8,70.96,323.98,23,19,1,203.55
43,8,1456.11,533.67,11,24,7,272.81
44,8,518.27,758.87,8,23,3,225.91
45,9,568.1,391.62,11,28,0,228.4
46,9,313.19,416.75,12,29,1,215.66
47,9,491.47,10.0,6,26,2,224.57
48,9,674.39,248.12,12,19,7,233.72
49,9,983.25,711.18,17,18,7,249.16
50,10,439.34,412.93,14,29,0,221.97
51,10,689.86,10.0,18,25,4,234.49
52,10,756.19,391.58,8,27,4,237.81
53,10,560.57,178.11,5,27,4,228.03
54,10,688.5,495.1,14,16,4,234.43
55,11,597.36,1170.12,2,30,0,229.87
56,11,561.15,723.64,6,19,2,228.06
57,11,818.21,594.99,16,36,6,240.91
58,11,435.97,624.36,4,28,6,221.8
59,11,24.06,331.13,21,28,3,201.2
60,12,731.26,697.07,20,28,7,236.56
61,12,10.0,957.09,10,31,7,200.5
62,12,503.78,539.07,11,33,6,225.19
63,12,931.03,219.32,3,20,7,246.55
64,12,735.2,436.91,1,29,3,236.76
65,13,102.32,191.52,1,32,0,205.12
66,13,326.93,140.63,17,42,1,216.35
67,13,1005.41,10.0,13,43,5,250.27
68,13,415.33,618.19,9,32,2,220.77
69,13,291.76,543.94,1,19,4,214.59
70,14,514.09,319.97,10,34,2,225.7
71,14,238.37,231.59,14,22,6,211.92
72,14,1114.22,545.94,11,43,4,255.71
73,14,331.02,1515.7,22,35,5,216.55
74,14,705.82,923.37,2,35,6,235.29
75,15,608.05,1187.44,1,37,5,230.4
76,15,599.21,494.11,17,33,1,229.96
77,15,43.05,982.37,16,33,2,202.15
78,15,218.04,294.45,12,48,4,210.9
79,15,522.81,641.18,1,34,1,226.14
80,16,332.29,10.0,3,37,4,216.61
81,16,312.43,390.56,8,40,7,215.62
82,16,433.71,745.67,9,34,6,221.69
83,16,489.44,522.62,16,47,1,224.47
84,16,203.62,511.45,16,43,1,210.18
85,17,149.07,10.0,17,33,3,207.45
86,17,175.54,1174.86,4,49,6,208.78
87,17,968.84,722.26,17,45,3,248.44
88,17,299.48,1058.29,6,45,4,214.97
89,17,648.97,422.3,1,42,5,232.45
90,18,240.8,519.41,5,35,3,212.04
91,18,497.36,680.56,3,50,1,224.87
92,18,985.88,873.2,26,39,2,249.29
93,18,692.17,174.09,3,47,5,234.61
94,18,10.0,473.57,15,48,1,200.5
95,19,1120.11,10.0,1,48,7,256.01
96,19,728.08,942.53,5,50,6,236.4
97,19,436.04,563.81,16,57,1,221.8
98,19,318.8,534.64,12,50,7,215.94
99,19,659.58,778.54,8,56,4,232.98
100,20,810.48,10.0,14,60,7,240.52
101,20,1031.71,340.65,12,61,0,251.59
102,20,1002.93,630.77,10,48,7,250.15
103,20,572.6,10.0,8,50,2,228.63
104,20,379.89,703.75,3,53,3,218.99
105,21,791.02,788.31,19,43,1,239.55
106,21,600.1,915.02,13,43,4,230.0
107,21,194.41,1690.48,5,51,2,209.72
108,21,802.58,10.0,21,51,1,240.13
109,21,146.66,227.9,12,53,2,207.33
110,22,162.35,1478.3,12,69,3,208.12
111,22,861.49,768.97,11,53,2,243.07
112,22,530.03,463.91,11,64,0,226.5
113,22,129.52,60.26,16,50,6,206.48
114,22,371.94,95.16,8,58,1,218.6
115,23,33.28,10.0,1,70,2,201.66
116,23,455.29,497.34,1,56,0,222.76
117,23,284.51,862.36,1,52,0,214.23
118,23,168.04,1529.34,7,52,7,208.4
119,23,1176.95,270.57,10,57,2,258.85
120,24,10.0,10.0,21,61,0,200.5
121,24,329.68,411.39,1,67,2,216.48
122,24,1025.68,874.27,1,54,4,251.28
123,24,10.0,904.14,20,63,3,200.5
124,24,431.24,825.55,7,60,4,221.56
125,25,10.0,139.79,2,49,0,200.5
126,25,124.67,869.61,12,71,1,206.23
127,25,362.45,935.42,8,60,0,218.12
128,25,336.52,888.73,1,72,2,216.83
129,25,1010.43,535.08,9,69,0,250.52
130,26,444.8,507.37,11,56,2,222.24
131,26,536.19,1024.84,12,74,1,226.81
132,26,715.28,312.34,26,78,7,235.76
133,26,713.49,10.0,14,66,0,235.67
134,26,116.13,250.07,1,58,2,205.81
135,27,544.16,410.98,10,52,2,227.21
136,27,234.87,729.59,20,67,5,211.74
137,27,485.06,52.35,1,63,2,224.25
138,27,536.6,1524.03,5,65,4,226.83
139,27,119.59,10.0,9,67,7,205.98
140,28,379.89,699.9,1,75,1,218.99
141,28,407.66,236.44,14,78,0,220.38
142,28,99.4,652.08,11,79,5,204.97
143,28,511.92,504.54,14,85,2,225.6
144,28,540.15,678.66,16,71,6,227.01
145,29,906.99,10.0,8,76,7,245.35
146,29,407.25,588.85,6,69,3,220.36
147,29,900.16,627.13,6,74,4,245.01
148,29,584.91,10.0,16,75,2,229.25
149,29,492.72,277.91,14,76,0,224.64
150,30,936.02,1131.83,6,68,5,246.8
151,30,735.85,319.07,5,81,7,236.79
152,30,137.78,71.77,1,95,2,206.89
153,30,582.2,520.12,15,89,5,229.11
154,30,614.72,566.58,1,80,1,230.74
155,31,461.54,299.54,13,87,5,223.08
156,31,147.93,818.36,7,68,5,207.4
157,31,913.48,773.43,18,90,7,245.67
158,31,383.69,614.35,5,83,2,219.18
159,31,210.31,158.63,12,59,4,210.52
160,32,181.75,10.0,15,82,7,209.09
161,32,663.4,1306.76,3,92,7,233.17
162,32,832.61,828.19,14,86,6,241.63
163,32,221.52,737.75,14,81,1,211.08
164,32,249.93,224.18,7,91,4,212.5
165,33,265.37,253.99,13,67,0,213.27
166,33,723.88,758.19,1,91,5,236.19
167,33,486.07,368.03,27,94,6,224.3
168,33,622.55,425.45,11,90,1,231.13
169,33,291.37,483.37,6,68,5,214.57
170,34,613.16,1126.21,5,90,5,230.66
171,34,703.49,480.79,9,72,6,235.17
172,34,796.19,948.74,15,75,4,239.81
173,34,10.0,273.33,20,81,1,200.5
174,34,933.13,467.14,1,115,0,246.66
175,35,987.96,10.0,18,82,1,249.4
176,35,647.42,87.71,19,75,3,232.37
177,35,53.97,626.57,9,78,4,202.7
178,35,304.21,321.53,16,86,6,215.21
179,35,770.55,1009.87,1,105,2,238.53
180,36,379.01,1460.81,7,96,7,218.95
181,36,806.94,536.63,9,74,1,240.35
182,36,415.67,1219.07,1,100,6,220.78
183,36,605.57,553.11,15,79,0,230.28
184,36,607.38,657.31,24,101,2,230.37
185,37,1134.73,417.9,15,94,5,256.74
186,37,293.24,1194.39,26,76,6,214.66
187,37,410.51,1365.46,11,97,5,220.53
188,37,341.21,747.47,1,94,1,217.06
189,37,106.63,979.38,19,96,3,205.33
190,38,193.16,397.05,14,108,4,209.66
191,38,615.06,912.54,1,102,3,230.75
192,38,1100.52,457.84,1,94,2,255.03
193,38,233.54,10.0,24,93,4,211.68
194,38,618.74,697.61,4,87,5,230.94
195,39,10.0,651.43,12,79,5,200.5
196,39,818.72,10.0,8,101,2,240.94
197,39,237.81,10.0,11,111,0,211.89
198,39,603.95,481.23,6,91,5,230.2
199,39,322.61,10.0,13,104,4,216.13
200,40,82.4,164.65,15,89,4,204.12
201,40,651.14,10.0,14,109,7,232.56
202,40,571.64,396.38,18,94,6,228.58
203,40,128.8,751.7,8,91,0,206.44
204,40,502.79,555.74,5,115,6,225.14
205,41,10.0,617.2,13,103,5,200.5
206,41,188.03,745.11,18,134,7,209.4
207,41,362.47,262.47,1,131,0,218.12
208,41,1101.02,885.19,9,106,7,255.05
209,41,685.41,556.41,12,115,0,234.27
210,42,273.72,474.34,12,118,4,213.69
211,42,318.7,369.32,12,110,3,215.93
212,42,670.99,788.59,18,104,7,233.55
213,42,793.88,10.0,15,101,1,239.69
214,42,245.91,103.44,22,98,3,212.3
215,43,512.51,407.04,1,96,1,225.63
216,43,295.1,523.66,1,107,1,214.76
217,43,10.8,568.39,19,108,6,200.54
218,43,756.02,803.57,14,101,6,237.8
219,43,470.93,10.0,12,99,3,223.55
220,44,204.72,888.36,3,111,3,210.24
221,44,284.94,1123.47,5,111,3,214.25
222,44,99.79,259.45,10,113,3,204.99
223,44,253.21,439.86,12,122,4,212.66
224,44,541.76,982.46,13,127,0,227.09
225,45,182.18,691.02,13,108,7,209.11
226,45,292.13,212.64,1,124,1,214.61
227,45,676.0,772.4,17,101,4,233.8
228,45,279.53,358.36,14,97,6,213.98
229,45,289.9,242.8,13,119,4,214.49
230,46,1273.91,178.53,9,113,0,263.7
231,46,616.99,981.63,23,110,4,230.85
232,46,286.61,265.37,1,117,4,214.33
233,46,558.85,259.25,8,109,2,227.94
234,46,612.22,991.07,1,119,5,230.61
235,47,760.53,10.0,1,122,6,238.03
236,47,524.38,1133.39,2,113,3,226.22
237,47,10.0,300.28,7,128,5,200.5
238,47,618.0,576.82,28,105,5,230.9
239,47,412.76,336.87,7,114,1,220.64
240,48,712.43,160.76,10,118,6,235.62
241,48,634.7,287.8,1,123,3,231.74
242,48,470.33,867.63,10,135,7,223.52
243,48,673.44,291.04,7,116,2,233.67
244,48,893.92,520.21,1,134,5,244.7
245,49,773.71,10.0,11,109,5,238.69
246,49,106.45,73.95,10,119,1,205.32
247,49,25.62,514.44,7,104,7,201.28
248,49,306.04,10.0,1,107,4,215.3
249,49,514.72,407.72,12,120,4,225.74
250,50,947.22,559.47,8,111,5,247.36
251,50,269.07,275.82,7,132,3,213.45
252,50,773.73,699.81,1,124,3,238.69
253,50,1014.36,76.25,28,122,5,250.72
254,50,727.75,269.4,14,136,6,236.39
255,51,40.18,913.18,1,140,4,202.01
256,51,490.72,10.0,2,141,1,224.54
257,51,719.7,10.0,26,140,4,235.99
258,51,437.2,232.37,21,135,4,221.86
259,51,597.55,433.31,18,121,3,229.88
260,52,864.34,610.62,21,134,7,243.22
261,52,490.97,603.69,16,104,6,224.55
262,52,555.4,10.0,7,126,6,227.77
263,52,316.73,977.81,2,129,5,215.84
264,52,763.88,742.85,3,128,0,238.19
265,53,241.58,147.82,20,132,1,212.08
266,53,778.35,522.81,4,136,7,238.92
267,53,177.91,645.71,12,105,1,208.9
268,53,115.61,10.0,5,138,5,205.78
269,53,563.17,705.0,1,134,4,228.16
270,54,325.08,433.15,16,144,7,216.25
271,54,611.75,1139.65,12,123,7,230.59
272,54,509.09,462.25,12,144,6,225.45
273,54,141.17,484.1,9,131,4,207.06
274,54,1280.5,726.2,11,144,6,264.03
275,55,446.42,907.02,1,124,7,222.32
276,55,221.99,1015.19,16,127,7,211.1
277,55,629.94,974.82,6,145,0,231.5
278,55,504.41,186.04,8,168,2,225.22
279,55,690.27,690.11,15,138,1,234.51
280,56,10.0,735.62,3,143,4,200.5
281,56,375.14,27.69,12,137,4,218.76
282,56,555.37,1116.84,5,143,1,227.77
283,56,981.84,1124.98,26,146,7,249.09
284,56,305.22,879.13,18,143,3,215.26
285,57,608.34,268.37,15,133,0,230.42
286,57,689.24,90.33,22,148,2,234.46
287,57,755.03,850.29,24,170,3,237.75
288,57,147.66,288.89,1,145,4,207.38
289,57,324.98,10.0,16,143,4,216.25
290,58,10.0,488.99,1,143,5,200.5
291,58,417.73,100.27,24,167,4,220.89
292,58,232.26,642.01,2,137,5,211.61
293,58,848.07,404.28,8,138,3,242.4
294,58,765.21,794.74,1,171,3,238.26
295,59,662.74,1001.74,7,133,4,233.14
296,59,1224.44,532.0,1,143,1,261.22
297,59,317.8,1151.73,12,129,0,215.89
298,59,518.5,671.53,1,126,0,225.93
299,59,98.64,720.62,15,164,4,204.93
