episode,step,action_node,action_bw,completion_time_ms,sla_violated,reward,volatility,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,ns_0,ns_1,ns_2,ns_3,ns_4,ns_5,ns_6,ns_7,ns_8,ns_9,ns_10,ns_11,ns_12,ns_13,ns_14,ns_15,ns_16,ns_17,ns_18,ns_19,ns_20,ns_21,ns_22,ns_23,ns_24,ns_25,ns_26,ns_27,ns_28,ns_29,ns_30,ns_31,ns_32,ns_33,ns_34,ns_35,ns_36,ns_37,ns_38,ns_39,ns_40,ns_41,ns_42,ns_43,ns_44,ns_45,ns_46,ns_47,ns_48,ns_49,ns_50,ns_51
0,0,6,0.7738,34.05,0,-0.0264,high_churn,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395,0.0719,0.1583,0.1768,0.5751,0.5233,0.3562,0.6828,0.6569,0.3949,1.2158,0.5889,0.601,0.7576,0.2907,0.5763,0.5262,0.3228,0.6084,0.9544,0.4328,0.422,0.5641,0.0151,0.4442,0.0122,0.319,0.0208,0.0872,0.1198,0.0263,0.1642,0.0184,0.0,0.274,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3092,0.1138,0.3126,0.1544,0.8582,0.6624,0.4751,0.631,0.5412,0.4069,1.3118,0.9449,0.5692,0.6161,0.3662,0.4325,0.616,0.335,1.0559,0.5536,0.3661,0.5806,0.5689,0.0291,0.5648,0.0233,0.4599,0.0236
0,0,6,0.6067,1855692.3,1,-5.3279,high_churn,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395,0.0719,0.1583,0.1768,0.5751,0.5233,0.3562,0.6828,0.6569,0.3949,1.2158,0.5889,0.601,0.7576,0.2907,0.5763,0.5262,0.3228,0.6084,0.9544,0.4328,0.422,0.5641,0.0151,0.4442,0.0122,0.319,0.0208,0.0,0.0672,0.0,0.0387,0.0005,0.0,0.1793,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3754,0.0774,0.1898,0.1597,0.736,0.4498,0.3778,0.9524,0.5565,0.3922,1.0617,0.7542,0.7202,0.7401,0.4355,0.4127,0.5053,0.3958,0.5807,0.8892,0.556,0.6842,0.3991,0.0122,0.3843,0.0237,0.5827,0.0235
0,0,2,0.6689,61837.83,1,-0.9215,high_churn,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395,0.0719,0.1583,0.1768,0.5751,0.5233,0.3562,0.6828,0.6569,0.3949,1.2158,0.5889,0.601,0.7576,0.2907,0.5763,0.5262,0.3228,0.6084,0.9544,0.4328,0.422,0.5641,0.0151,0.4442,0.0122,0.319,0.0208,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4462,0.1111,0.2732,0.2431,0.4544,0.6075,0.3494,0.7434,0.2154,0.3472,1.1984,0.7605,0.612,0.5763,0.266,0.6387,0.648,0.2135,1.006,0.7169,0.4808,0.3748,0.4833,0.0175,0.4144,0.0235,0.5474,0.0146
0,1,7,0.3349,382745.22,1,-4.1307,high_churn,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4409,0.1256,0.2414,0.1366,0.9347,0.5315,0.28,0.9053,0.5412,0.4555,1.169,0.8799,0.9602,0.9705,0.1288,0.472,0.5847,0.2229,0.5061,0.4705,0.3344,0.6839,0.4015,0.0118,0.5017,0.0182,0.4708,0.0171,0.0304,0.0257,0.1331,0.0988,0.1397,0.0,0.0,0.1089,0.0,0.0,0.18,0.0,0.0,0.0,0.27,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4182,0.0868,0.357,0.2726,0.9179,0.574,0.3778,1.0357,0.6145,0.3616,1.093,0.5487,0.5703,0.9875,0.2508,0.5019,0.636,0.2323,0.8224,0.8728,0.4667,0.712,0.3559,0.0272,0.3641,0.0149,0.4138,0.0275
0,1,1,0.7107,24320.07,1,-0.5466,high_churn,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4409,0.1256,0.2414,0.1366,0.9347,0.5315,0.28,0.9053,0.5412,0.4555,1.169,0.8799,0.9602,0.9705,0.1288,0.472,0.5847,0.2229,0.5061,0.4705,0.3344,0.6839,0.4015,0.0118,0.5017,0.0182,0.4708,0.0171,0.0,0.0,0.0002,0.0756,0.1172,0.0531,0.0446,0.1136,0.0,0.14,0.16,0.0,0.0,0.0,0.25,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3103,0.1001,0.2214,0.1948,0.4985,0.6024,0.3346,0.7645,0.3937,0.5196,1.1928,0.5409,0.5337,0.9378,0.3855,0.5276,0.3329,0.4381,0.9503,0.9315,0.3806,0.5762,0.5321,0.0139,0.4418,0.0243,0.5008,0.0156
0,1,6,0.7036,70296.03,1,-1.0087,high_churn,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4409,0.1256,0.2414,0.1366,0.9347,0.5315,0.28,0.9053,0.5412,0.4555,1.169,0.8799,0.9602,0.9705,0.1288,0.472,0.5847,0.2229,0.5061,0.4705,0.3344,0.6839,0.4015,0.0118,0.5017,0.0182,0.4708,0.0171,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3146,0.1089,0.2616,0.1767,0.6026,0.2684,0.4565,0.5595,0.4601,0.4328,0.8522,0.5918,0.5775,0.7096,0.4011,0.6942,0.7006,0.3318,0.689,0.5568,0.4324,0.5043,0.5157,0.0167,0.4707,0.0261,0.425,0.0216
0,2,5,0.161,24.66,0,-0.0007,high_churn,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4288,0.1071,0.2524,0.1997,0.7353,0.1683,0.4373,0.7507,0.6554,0.4929,1.7162,0.6972,0.7921,0.7684,0.543,0.4493,0.4976,0.3017,0.3978,0.6232,0.3681,0.5513,0.5175,0.0275,0.5074,0.0177,0.3563,0.022,0.1685,0.0,0.0,0.0,0.0,0.1436,0.0219,0.0,0.0,0.1,0.12,0.0,0.0,0.03,0.25,0.06,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4971,0.1304,0.2105,0.2532,0.6145,0.279,0.3613,0.6681,0.5418,0.3923,0.3651,0.7794,0.6045,0.8735,0.3351,0.8082,0.7651,0.3161,0.8506,0.7696,0.4543,0.6211,0.4896,0.021,0.4966,0.0282,0.4562,0.0182
0,2,0,0.5112,87357.31,1,-1.1933,high_churn,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4288,0.1071,0.2524,0.1997,0.7353,0.1683,0.4373,0.7507,0.6554,0.4929,1.7162,0.6972,0.7921,0.7684,0.543,0.4493,0.4976,0.3017,0.3978,0.6232,0.3681,0.5513,0.5175,0.0275,0.5074,0.0177,0.3563,0.022,0.2314,0.0,0.0,0.0,0.0,0.0456,0.0,0.0488,0.22,0.08,0.1,0.0,0.0,0.01,0.23,0.04,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1853,0.1281,0.216,0.1676,0.7058,0.3394,0.387,0.7236,0.7076,0.4165,1.0317,0.8588,0.6593,0.7084,0.424,0.6172,0.5346,0.3033,0.6536,0.3758,0.3025,0.6815,0.6438,0.019,0.4756,0.0212,0.7019,0.0245
0,2,5,0.7938,8435.84,1,-0.3898,high_churn,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4288,0.1071,0.2524,0.1997,0.7353,0.1683,0.4373,0.7507,0.6554,0.4929,1.7162,0.6972,0.7921,0.7684,0.543,0.4493,0.4976,0.3017,0.3978,0.6232,0.3681,0.5513,0.5175,0.0275,0.5074,0.0177,0.3563,0.022,0.0588,0.0,0.0075,0.0,0.0,0.2173,0.0,0.1067,0.2,0.06,0.08,0.0,0.0,0.1,0.21,0.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3341,0.0783,0.2656,0.1915,0.2632,0.2681,0.5046,0.9792,0.6904,0.4074,1.3355,0.9606,0.4389,1.1291,0.3451,0.589,0.6746,0.2869,0.9471,0.7334,0.4155,0.55,0.5584,0.02,0.5016,0.0133,0.3694,0.0114
0,3,2,0.5993,211272.89,1,-2.4145,high_churn,0.0588,0.0,0.0075,0.0,0.0,0.2173,0.0,0.1067,0.2,0.06,0.08,0.0,0.0,0.1,0.21,0.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4854,0.1626,0.2719,0.1589,0.6377,0.4329,0.4166,0.982,0.5539,0.4669,1.3637,0.7998,0.7645,0.7132,0.4214,0.5893,0.6892,0.3865,0.6304,0.7603,0.4907,0.397,0.4579,0.0224,0.5722,0.0233,0.5884,0.0184,0.1998,0.0,0.0242,0.0,0.1706,0.0643,0.0,0.0388,0.18,0.04,0.07,0.0,0.0,0.08,0.19,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3462,0.076,0.1331,0.2261,0.7628,0.4005,0.7115,0.9863,0.2466,0.3817,1.5188,1.1529,0.7713,0.9736,0.2887,0.4631,0.3971,0.3013,0.797,0.726,0.5093,0.435,0.3996,0.0208,0.375,0.0252,0.3799,0.018
