episode,step,action_node,action_bw,completion_time_ms,sla_violated,reward,volatility,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,ns_0,ns_1,ns_2,ns_3,ns_4,ns_5,ns_6,ns_7,ns_8,ns_9,ns_10,ns_11,ns_12,ns_13,ns_14,ns_15,ns_16,ns_17,ns_18,ns_19,ns_20,ns_21,ns_22,ns_23,ns_24,ns_25,ns_26,ns_27,ns_28,ns_29,ns_30,ns_31,ns_32,ns_33,ns_34,ns_35,ns_36,ns_37,ns_38,ns_39,ns_40,ns_41,ns_42,ns_43,ns_44,ns_45,ns_46,ns_47,ns_48,ns_49,ns_50,ns_51
0,0,6,0.7738,34.05,0,-0.0264,low_bandwidth,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1516,0.0186,0.0437,0.0621,0.1883,0.2021,0.1187,0.2057,0.2743,0.1446,0.459,0.1768,0.2116,0.2872,0.0927,0.2237,0.1838,0.1173,0.2125,0.4063,0.1621,0.137,0.2265,0.005,0.1699,0.005,0.098,0.0079,0.0872,0.1198,0.0263,0.1642,0.0184,0.0,0.274,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1033,0.0422,0.1305,0.0495,0.3475,0.2803,0.1856,0.1765,0.2092,0.1513,0.513,0.3771,0.1937,0.2076,0.1352,0.1428,0.2344,0.1242,0.4642,0.1808,0.1246,0.2262,0.2292,0.0126,0.2377,0.0094,0.1772,0.0095
0,0,6,0.6067,4503467.92,1,-5.3279,low_bandwidth,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1516,0.0186,0.0437,0.0621,0.1883,0.2021,0.1187,0.2057,0.2743,0.1446,0.459,0.1768,0.2116,0.2872,0.0927,0.2237,0.1838,0.1173,0.2125,0.4063,0.1621,0.137,0.2265,0.005,0.1699,0.005,0.098,0.0079,0.0,0.0672,0.0,0.0387,0.0005,0.0,0.1793,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1405,0.0217,0.0615,0.0525,0.2788,0.1607,0.1309,0.3573,0.2178,0.143,0.3723,0.2698,0.2787,0.2773,0.1742,0.1317,0.1721,0.1584,0.197,0.3696,0.2314,0.2845,0.1337,0.005,0.1362,0.0096,0.2463,0.0095
0,0,2,0.6689,164843.15,1,-1.9515,low_bandwidth,0.1124,0.2196,0.0468,0.0174,0.1803,0.0062,0.2497,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1516,0.0186,0.0437,0.0621,0.1883,0.2021,0.1187,0.2057,0.2743,0.1446,0.459,0.1768,0.2116,0.2872,0.0927,0.2237,0.1838,0.1173,0.2125,0.4063,0.1621,0.137,0.2265,0.005,0.1699,0.005,0.098,0.0079,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1803,0.0407,0.1084,0.0994,0.1204,0.2494,0.115,0.2397,0.0259,0.1177,0.4492,0.2733,0.2178,0.1852,0.112,0.2588,0.2524,0.0558,0.4362,0.2727,0.1891,0.1105,0.181,0.0064,0.1531,0.0095,0.2264,0.005
0,1,7,0.3349,1020589.7,1,-5.3033,low_bandwidth,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1773,0.0488,0.0905,0.0395,0.3905,0.2066,0.0759,0.3308,0.2092,0.1787,0.4326,0.3405,0.4137,0.4069,0.0349,0.165,0.2168,0.0611,0.155,0.1341,0.1067,0.2844,0.135,0.005,0.2023,0.0065,0.1834,0.0059,0.0304,0.0257,0.1331,0.0988,0.1397,0.0,0.0,0.1089,0.0,0.0,0.18,0.0,0.0,0.0,0.27,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1646,0.027,0.1555,0.116,0.3811,0.2306,0.1419,0.4042,0.2504,0.1259,0.3899,0.1542,0.1943,0.4165,0.0893,0.1818,0.2456,0.0664,0.3329,0.3604,0.1812,0.3001,0.1093,0.0111,0.1248,0.005,0.1513,0.0117
0,1,1,0.7107,64832.52,1,-0.9518,low_bandwidth,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1773,0.0488,0.0905,0.0395,0.3905,0.2066,0.0759,0.3308,0.2092,0.1787,0.4326,0.3405,0.4137,0.4069,0.0349,0.165,0.2168,0.0611,0.155,0.1341,0.1067,0.2844,0.135,0.005,0.2023,0.0065,0.1834,0.0059,0.0,0.0,0.0002,0.0756,0.1172,0.0531,0.0446,0.1136,0.0,0.14,0.16,0.0,0.0,0.0,0.25,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1039,0.0345,0.0792,0.0722,0.1452,0.2465,0.1066,0.3427,0.1262,0.2148,0.446,0.1498,0.1738,0.3886,0.1509,0.1963,0.0751,0.1821,0.4049,0.3934,0.1327,0.2237,0.2085,0.005,0.1686,0.0099,0.2003,0.005
0,1,6,0.7036,187223.1,1,-2.1779,low_bandwidth,0.0,0.0,0.1169,0.0873,0.0,0.0119,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1773,0.0488,0.0905,0.0395,0.3905,0.2066,0.0759,0.3308,0.2092,0.1787,0.4326,0.3405,0.4137,0.4069,0.0349,0.165,0.2168,0.0611,0.155,0.1341,0.1067,0.2844,0.135,0.005,0.2023,0.0065,0.1834,0.0059,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1063,0.0394,0.1018,0.0621,0.2037,0.1052,0.1752,0.1917,0.1636,0.1659,0.2544,0.1784,0.1984,0.2601,0.1548,0.29,0.2819,0.1224,0.2579,0.1826,0.1618,0.1833,0.1992,0.0056,0.1848,0.011,0.1576,0.0084
0,2,5,0.161,24.66,0,-0.0007,low_bandwidth,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1706,0.0384,0.0967,0.075,0.2784,0.0488,0.1644,0.2993,0.2734,0.1997,0.7404,0.2377,0.3191,0.2932,0.2346,0.1523,0.1678,0.1054,0.0941,0.22,0.1257,0.2098,0.2003,0.0117,0.2055,0.0062,0.119,0.0086,0.1685,0.0,0.0,0.0,0.0,0.1436,0.0219,0.0,0.0,0.1,0.12,0.0,0.0,0.03,0.25,0.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.209,0.0515,0.0731,0.1051,0.2104,0.0926,0.1217,0.2171,0.2095,0.1431,0.005,0.284,0.2136,0.3524,0.1177,0.3541,0.3182,0.1135,0.3488,0.3023,0.1742,0.249,0.1846,0.008,0.1994,0.0121,0.1752,0.0065
0,2,0,0.5112,232887.91,1,-2.6486,low_bandwidth,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1706,0.0384,0.0967,0.075,0.2784,0.0488,0.1644,0.2993,0.2734,0.1997,0.7404,0.2377,0.3191,0.2932,0.2346,0.1523,0.1678,0.1054,0.0941,0.22,0.1257,0.2098,0.2003,0.0117,0.2055,0.0062,0.119,0.0086,0.2314,0.0,0.0,0.0,0.0,0.1477,0.0367,0.0,0.22,0.08,0.1,0.0,0.0,0.01,0.23,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1844,0.0395,0.0785,0.064,0.2043,0.1345,0.093,0.3363,0.1938,0.0489,0.4361,0.3128,0.2919,0.3784,0.1778,0.1636,0.1747,0.1509,0.2168,0.1649,0.2787,0.182,0.1475,0.005,0.2007,0.0053,0.1643,0.0097
0,2,6,0.1244,209941.96,1,-2.4048,low_bandwidth,0.0012,0.0931,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.12,0.14,0.0,0.0,0.0,0.27,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1706,0.0384,0.0967,0.075,0.2784,0.0488,0.1644,0.2993,0.2734,0.1997,0.7404,0.2377,0.3191,0.2932,0.2346,0.1523,0.1678,0.1054,0.0941,0.22,0.1257,0.2098,0.2003,0.0117,0.2055,0.0062,0.119,0.0086,0.0,0.0,0.0,0.0207,0.2573,0.0,0.0,0.0,0.2,0.06,0.08,0.0,0.0,0.0,0.32,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0375,0.0434,0.0738,0.0465,0.3669,0.1772,0.1717,0.454,0.19,0.1761,0.56,0.3614,0.2746,0.4266,0.1944,0.1958,0.163,0.1532,0.2761,0.395,0.211,0.2467,0.1824,0.0055,0.1504,0.0086,0.0784,0.0103
0,3,7,0.4016,224847.2,1,-2.5493,low_bandwidth,0.0,0.0,0.0,0.0207,0.2573,0.0,0.0,0.0,0.2,0.06,0.08,0.0,0.0,0.0,0.32,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2132,0.0182,0.0525,0.0798,0.2232,0.1939,0.1597,0.2472,0.2641,0.1767,0.3743,0.4483,0.2143,0.1744,0.1494,0.2223,0.26,0.1554,0.2995,0.2984,0.1347,0.1597,0.2221,0.0081,0.1992,0.005,0.1384,0.0118,0.1052,0.0,0.0892,0.0096,0.0571,0.0,0.0,0.0404,0.18,0.04,0.06,0.0,0.0,0.0,0.3,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1443,0.0374,0.1036,0.0822,0.3546,0.1564,0.1171,0.2521,0.1651,0.1727,0.552,0.2234,0.3189,0.391,0.1592,0.3142,0.1722,0.0806,0.121,0.3784,0.1947,0.1974,0.1969,0.005,0.2772,0.0078,0.1682,0.0091
